"","subID","edgeTot","edg_scaled"
"1","2",58,0.415141915063494
"25","4",44,-0.117492994829291
"49","5",30,-0.650127904722076
"73","8",24,-0.878400008961841
"97","17",36,-0.421855800482311
"121","19",37,-0.383810449775683
"145","48",43,-0.155538345535918
"169","50",48,0.0346884079972193
"193","22",47,-0.00335694270940823
"217","23",26,-0.802309307548586
"241","24",54,0.262960512236984
"265","26",61,0.529277967183377
"289","34",34,-0.497946501895566
"313","33",37,-0.383810449775683
"337","31",29,-0.688173255428703
"361","46",86,1.48041173484906
"385","59",19,-1.06862676249498
"409","45",67,0.757550071423142
"433","61",48,0.0346884079972193
"457","44",55,0.301005862943612
"481","43",25,-0.840354658255213
"505","108",158,4.21967698572624
"529","42",35,-0.459901151188938
"553","41",41,-0.231629046949173
"577","39",36,-0.421855800482311
"601","75",104,2.16522804756836
"625","76",30,-0.650127904722076
"649","79",50,0.110779109410474
"673","83",33,-0.535991852602193
"697","82",54,0.262960512236984
"721","84",54,0.262960512236984
"745","88",32,-0.574037203308821
"769","89",33,-0.535991852602193
"793","80",33,-0.535991852602193
